"","poem1.txt","poem10.txt","poem11.txt","poem12.txt","poem13.txt","poem14.txt","poem15.txt","poem16.txt","poem17.txt","poem18.txt","poem19.txt","poem2.txt","poem20.txt","poem21.txt","poem22.txt","poem23.txt","poem24.txt","poem25.txt","poem26.txt","poem27.txt","poem28.txt","poem29.txt","poem3.txt","poem30.txt","poem31.txt","poem32.txt","poem33.txt","poem34.txt","poem35.txt","poem36.txt","poem37.txt","poem38.txt","poem39.txt","poem4.txt","poem40.txt","poem41.txt","poem42.txt","poem43.txt","poem44.txt","poem45.txt","poem46.txt","poem47.txt","poem48.txt","poem49.txt","poem5.txt","poem50.txt","poem51.txt","poem52.txt","poem53.txt","poem54.txt","poem55.txt","poem56.txt","poem57.txt","poem58.txt","poem59.txt","poem6.txt","poem60.txt","poem61.txt","poem62.txt","poem63.txt","poem64.txt","poem65.txt","poem66.txt","poem67.txt","poem68.txt","poem7.txt","poem8.txt","poem9.txt"
"sea",0.0670921386718318,0.0686799398686367,0.00606038903841385,-0.0333602778558859,-0.0561737586110516,0.0699968034779553,0.104184414466263,0.0306388668375861,-0.035410005443826,0.0413122666979314,-0.0794115790614349,-0.0790583801745857,0.0611367374386265,0.0823893353460152,-0.0268540816551833,-0.0264922684705639,-0.0552043935991751,0.0665294311579693,-0.0113881362882066,0.0189558433185072,0.0392045718954609,0.016360545283009,0.10314462276338,-0.0170279366674887,0.159947866412973,-0.0741595799302964,-0.0202393569271942,-0.0515091780383863,-0.0334147384249197,0.12325728563567,0.0114425906501656,0.740874853413022,0.0426011454137468,0.00391423069848358,-0.0401984701746557,-0.0180364299846097,0.0077434620797188,0.0121116083469301,0.00689424683977013,-0.0193225041216727,0.0386328735014227,-0.00379619824060416,-0.0335719775233331,0.0151324233039071,0.146817757933587,-0.00918803224354053,-0.0559597320430205,-0.018308442357839,-0.0263221010353418,0.014541140945578,-0.0859543758583449,-0.03021440246906,0.0130980151581737,0.017302065002457,0.00212628870189578,1.00048482929876,-0.0746017400791444,0.100980008797067,-0.0418323921946671,0.0377124760457298,0.15011438174001,0.0501623746233865,0.0426525118570149,0.132151952346386,0.0235087242354696,0.154072845676559,-0.00109852563258213,-0.00356379611409996
"shield",0.196563610111077,0.0322997578121589,-0.0418573538815512,0.0210806924433261,-0.037483233571196,0.128421190193417,-0.0194175842071495,-0.0235883664483965,0.0512911780246645,0.0894816642025274,-0.0357616191719122,-0.0908965480461227,-4.73350690095635e-05,0.0776655172560901,-0.168957711830351,0.0849959103059667,-0.0653114164291392,-0.0165892011680948,0.0096363808668492,0.0403746391729534,0.0902131384945477,0.0462917846641789,-0.0211156330663076,0.0446226891328683,0.154451905593505,0.226562496712269,0.066031304957509,-0.0407194128893867,0.0253796180998251,-0.152674065369615,-0.0199703152345444,-0.0441193316605226,-0.0547025194794803,-0.000157303540660886,0.0051340563448384,0.0202784593146629,-0.0998404233399354,0.0291000486678775,-0.00602554671450006,-0.0346631516477352,-1.00540157404114e-05,-0.0592177239341144,-0.0123661817260592,0.0120195969464651,0.1302600964006,0.0357093756227372,-0.0584219676049033,-0.0317792605702458,0.0046414488197072,0.0351361327514932,-0.169114265619322,-0.0109350078728031,0.0115320610279915,0.0359568585479013,0.00104917544791162,0.0467998125676624,-0.141571795247575,0.270802782289844,0.0594344120526471,-0.0377445134057732,0.0391603403155745,-0.0643621344472826,-0.00593445838473437,0.607945134331393,0.0544603151522142,-0.0416658072916226,-0.038007098043706,0.000560393665732969
"shout",0.0615543110216501,0.00615418995885437,-0.0036951326718455,0.00681114575737487,-0.0136948027507227,0.0418789145980093,-0.00346771201811008,-0.00545005603266997,0.0231056418408741,0.00897765180683478,-0.0299849484955853,-0.0104940192522187,-0.000108851487726424,0.0301359229251673,-0.0525198929415482,0.0542047401378372,-0.0211493806309258,0.0274468635335709,0.00638416789736803,0.0644446232756792,0.0315752170810509,0.0297990212723046,0.00678894168160141,0.0217267165215446,0.052867124106566,0.0656707575876911,0.0324490754776811,-0.0134477035932998,-0.0105179572868447,-0.012981498737023,-0.00675689044225025,-0.0213829638243091,-0.0244771007305544,-0.00406974127523517,-0.0116880590240123,0.00982301851539795,-0.0104449621408306,0.018388430599753,0.00238095514115223,-0.00837018803458937,0.0082354658757549,-0.0117449915199334,-0.00919719072590169,0.00383155627390873,0.025669980057655,0.00897230436879121,-0.0534537827327012,-0.0132444010986828,0.0219116058049475,-0.0101448664868731,-0.0378919814747747,-0.0097357363223686,0.00473793953421852,-0.000243321798849609,0.00744455289168217,0.0269207914744918,-0.0365547956941453,0.0436229705752413,0.00364273572053358,-0.0114697079342249,0.0157652343613391,-0.00993312945973774,-0.00149472409726498,0.135009299089428,0.00337066007061233,-0.0100638095132299,-0.00832585604089546,0.00517319263384342
"sin",0.469999456356852,-0.111859459630064,-0.062887295806388,1.05731189342635,-0.0854847370220975,0.249325927664658,-0.103978944012094,-0.0792821334998018,0.127578137212225,-0.0948531996174455,-0.217261095081329,0.0680964571888782,0.234808716523833,-0.0227759229777149,-0.210431044426385,0.127366168706903,0.156464732490103,-0.0841303941782311,-0.0487502256050052,-0.194208855155745,0.0301367156898381,0.0931296171627228,0.403489213499873,0.697881658247373,0.55135728166724,-0.153453899767727,3.67321836405285,0.488006059762424,-0.146998533169087,0.432408210404609,0.0761876009724533,0.0363960156341302,0.203248827237567,0.10239090794319,-0.0657070915167808,-0.0213320427847982,0.317245268695343,-0.0214512132647684,0.0969175761011231,-0.0914848534404336,0.304027294241727,0.379202920833238,-0.175686079951051,0.0577359871233004,-0.0962161835903329,0.581459665058596,0.28837265783026,0.223434578565822,0.0589832984385698,-0.125177094189425,-0.32672488992726,0.053085122169025,0.561884197491434,0.0157341439310111,0.0654711619604925,-0.245378851053796,-0.153875647095653,2.0648176840712,0.152552196663086,-0.155332152560738,0.253388999170473,0.0125546051661315,-0.0542745967148118,1.28945466001073,-0.259274318957795,-0.267407706027164,0.161181675293552,0.584248746292309
"spear",0.105377522631541,0.0432446457566652,-0.0611075744590169,0.0693097364804404,0.00834866463053927,0.0526260170623978,-0.00306653765437396,0.0640360618716061,0.0227421939580928,0.0155844704454719,0.0125188742086709,-0.0540438432780517,-0.00984710136173633,0.0572933018163022,-0.0372825460532095,0.0378088242502178,-0.0482290160599588,0.0348588128257671,0.0586673320865266,0.118538816108576,0.0177765078949391,0.00153099691490189,0.0492749980178048,0.035392149988267,0.0632930558087781,0.0277706191828483,0.019938759376917,-0.00493392469606176,-0.00338457709442369,-0.0646046199092461,-0.0218486039334262,-0.12966422404398,0.0535485562866064,0.0372953605800488,-0.0340921489375337,0.0364732134782453,-0.0107280533573641,0.0115769846294372,0.0804598358365077,0.114055503060398,0.0538038189342944,-0.0178188205068598,-0.0254944231872765,0.00956288664743186,0.0630927774090461,0.0549631625544671,-0.0378195808068369,-0.0864770677813794,1.93463291646825,0.0221063281862372,-0.0853455980293177,0.104259038390873,0.0429893516831701,0.0041474775418913,-0.0021848822219625,0.0387346380135824,-0.0996570254066232,0.0299278215814715,-0.0472255508265494,0.0473216135497263,0.133469088535544,-0.000531063792256439,0.00493412250064502,0.100468985118949,-0.0186491394309461,0.143703864751709,0.0938980937905114,-0.0151086984479248
"thus",0.205578142999994,-0.0335707916292362,0.137509527931936,-0.137063043704431,-0.0212876367590852,0.125403460736675,0.0071796265929001,-0.0191398149114441,0.414929524269357,0.207152824968688,0.0607890357463036,-0.0356517053795493,0.0936224526187509,-0.0127007509766344,-0.0901271405070498,0.02807668968819,-0.013956779099576,0.0552536903288758,0.0286303356464866,1.15846442222264,0.0891603377393793,0.0773581460901226,0.0315751855449756,-0.0975233125406614,0.206845149922667,0.456169498108004,-0.0595433213587201,-0.159100826289953,-0.0308911459071678,0.227691196241805,-0.0270012547128587,-0.245545988061778,-0.181004041803657,-0.0313930879198519,0.00211433263586695,0.0647828798719468,0.00736492176083629,0.0110483070993068,-0.0161043923523165,-0.0214915176919412,-0.033995851521343,0.0133024523050504,0.145582497292693,0.0373572853974979,0.203786968439939,-0.0437956459382926,0.0388471242037135,-0.0493966026604745,0.0216782928468923,0.0149464177449312,0.0172864739947162,0.0199518577500733,-0.0384520239961791,-0.034490015521986,0.112586596762807,-0.0171257358453375,0.149324325538307,0.0950021650014412,0.0716356747925379,-0.0219500487369745,0.093503354370212,-0.00125814664677033,-0.00448451247417263,0.29684759929491,-0.0175869071839123,-0.0996563801202919,-0.0970956781871364,-0.0193983560505033
"upon",0.704635959667707,0.109409768622807,0.508507492678737,1.24088211817125,0.12760696779119,0.230651545303578,0.0566491282524844,0.0654178879854998,0.355283266520754,-0.117186809710942,-0.0256842593176868,0.157187445894792,0.0750657849256672,2.15246530907241,0.248057174887063,0.773978919616209,-0.00470849081576746,0.0260828627936959,0.115153227201996,0.920203456779905,-0.123310823627909,0.201414989814094,0.693561477063046,0.46679432301957,1.09731342731633,0.423989855042184,1.08838514292919,0.518223531145631,0.0429540046148261,0.328005839345691,0.0618502866784991,0.0322184625100937,-0.0841041775074894,0.137482817071346,-0.00903307608941295,0.200225607100113,0.148568423261872,0.00330829737102688,0.192699134629881,0.173721560633178,0.759528442048442,0.032278078104377,0.0015863206216565,1.9473840937921,-0.384277071189203,0.349688295282953,-0.00533524738153358,-0.145999685324693,1.96146225166877,-0.00533031000590807,0.241083288916863,0.0257008073145353,0.567894613303783,0.1962426384966,0.0947693875683389,1.15640230668545,1.17749916488295,2.87115998627387,0.636062737278849,0.143630712340053,0.0133134667356829,0.166323997966879,0.0114824243800473,1.49537304596907,0.110553918437566,0.0983506666387669,0.454093592477643,0.669444747147609
"wave",0.06155431102165,0.00615418995885446,-0.00369513267184522,0.00681114575737393,-0.0136948027507225,0.0418789145980095,-0.00346771201811,-0.00545005603266991,0.0231056418408746,0.0089776518068347,-0.029984948495585,-0.010494019252219,-0.000108851487726003,0.0301359229251671,-0.0525198929415487,0.0542047401378369,-0.0211493806309257,0.0274468635335708,0.006384167897368,0.0644446232756795,0.031575217081051,0.0297990212723048,0.00678894168160162,0.0217267165215445,0.0528671241065661,0.0656707575876916,0.0324490754776829,-0.0134477035932997,-0.0105179572868443,-0.0129814987370226,-0.00675689044224997,-0.0213829638243081,-0.0244771007305542,-0.00406974127523528,-0.011688059024011,0.0098230185153982,-0.0104449621408303,0.0183884305997547,0.00238095514115223,-0.00837018803458926,0.00823546587575455,-0.0117449915199332,-0.00919719072590148,0.00383155627391393,0.0256699800576563,0.00897230436879124,-0.0534537827327002,-0.0132444010986828,0.0219116058049464,-0.0101448664868721,-0.0378919814747753,-0.00973573632236862,0.0047379395342185,-0.000243321798849843,0.0074445528916824,0.0269207914744904,-0.0365547956941438,0.0436229705752403,0.00364273572053356,-0.0114697079342249,0.0157652343613395,-0.00993312945973788,-0.00149472409726492,0.135009299089428,0.00337066007061356,-0.0100638095132298,-0.00832585604089489,0.00517319263384363
"wild",0.0615543110216498,0.0061541899588545,-0.00369513267184548,0.00681114575737385,-0.0136948027507225,0.0418789145980095,-0.00346771201810994,-0.00545005603266994,0.0231056418408744,0.00897765180683476,-0.0299849484955848,-0.0104940192522192,-0.000108851487726119,0.030135922925167,-0.052519892941549,0.0542047401378368,-0.0211493806309258,0.0274468635335716,0.00638416789736792,0.0644446232756793,0.0315752170810512,0.0297990212723049,0.00678894168160126,0.0217267165215442,0.0528671241065658,0.0656707575876914,0.0324490754776821,-0.0134477035932995,-0.0105179572868449,-0.012981498737023,-0.00675689044225006,-0.0213829638243083,-0.0244771007305543,-0.00406974127523536,-0.0116880590240115,0.00982301851539814,-0.0104449621408302,0.0183884305997529,0.00238095514115203,-0.00837018803458929,0.00823546587575435,-0.0117449915199333,-0.00919719072590153,0.00383155627391348,0.0256699800576559,0.00897230436879102,-0.0534537827327003,-0.0132444010986827,0.0219116058049448,-0.0101448664868727,-0.0378919814747752,-0.00973573632236881,0.00473793953421826,-0.000243321798849954,0.00744455289168243,0.0269207914744904,-0.036554795694144,0.0436229705752395,0.00364273572053335,-0.0114697079342251,0.015765234361339,-0.00993312945973799,-0.00149472409726493,0.135009299089427,0.00337066007061484,-0.0100638095132298,-0.00832585604089513,0.00517319263384347
"wind",0.323411696947176,0.12648417058814,-0.0556129649855654,0.132768697439383,-0.0589973426330654,0.188722121314869,-0.0580878449076975,0.0827271058215267,0.0341053195233708,0.0367039095598006,-0.114781863538843,-0.0703364871207187,0.00764056208910501,0.0176245273300092,-0.13989390833458,0.102758647523698,0.0404660336808401,-0.127018937706995,0.0594086852915403,0.0784624541319918,1.95782156520877,0.0748339771002758,0.0155698331417373,-0.0626954689891846,0.22182920175552,0.236416283185505,0.0502946244374628,-0.0606300342793441,0.0467559752010466,-0.141586057582328,-0.00744430572318092,-0.0129461010459014,0.174330872113636,0.0296682231646951,-0.0167851339576832,0.0157488692386605,-0.0274960473931164,2.01341978911556,0.0186791979743693,-0.0158081580179055,-0.00867268589202669,-0.0133778382829575,0.0133215423388978,0.00755654935871123,0.062706297972501,-0.0251073432650537,-0.0562813390038743,0.0862502983506708,-0.010061783067177,-0.00348925807275091,-0.100692987958336,-0.0282697252122279,-0.041504922464929,0.050264793408497,0.0182925265338894,0.991895684900491,-0.124900621768487,0.135310455743887,0.0748559481671054,-0.027566962816609,-0.0860665409673241,0.0107898127451432,0.0555298615766784,0.766523234387805,0.0399383160425223,0.175965590841284,-0.0725184668563655,-0.00864168986383416
